item,provided
Set of Madri Beers and Limited Edition Glass with QR code to win a holiday (not yet released),Suppliers to the Plough
Private Chauffeured Champagne punt for up to 6 people- Scudamores,Scudamores
Bottle of Emmanuel College Port,Annette Gibson
Sack of Potatoes,Russell Smith Farms
Afternoon Tea for Two,Annette Gibson
Amazon Fire Tablet,Holroyd Components LTD
Bucket of Booze,The Duxford Soap Box Derby Committee
Boxed Pool Cue,Suppliers to the Plough
Bottle of 1729 Rose Champagne,Welches Transport Ltd
Potting Table,Liam Camp
Bottle of Bolinger, Rita Smith
Guns of the Past Target Shooting,Malcom Hyde & Bassingbourn rifle and pistol club
Puddleducks Swimming Lessons and Swim Nappy (8 lessons),Leah Hill
Signed Leicester Tigers Rugby Shirt,Everards
Sack of Potatoes,Russell Smith Farms
Christmas Wreath Making  Class,Lucy's Blooms   
Bottle of 1729 Rose Champagne,Welches Transport Ltd
Classic Wings Pleasure Flight Voucher,Classic Wings Duxford
Boxed Pool Cue,Suppliers to the Plough
Wine & Glass Set,Suppliers to the Plough
Signed Matt Jones Red Bull Top, Kate Auger
Cambridge Country Club 4 ball round of golf,Cambridge Country Club
£200 Extreme Trampolining Voucher, Extreme 360 St Neots
Season Ticket for Cambridge City for 1,Maureen Havil
Photo shoot including all digital prints,Wisbey Photography
